100000 1 1 0.066666667 0.066666667 0 0 1e-05 0.02898 449906.85 0.31590624 0.31957169 0.33571019 0.33608195 50494 211383 267 1526149 14426 224919 1041 77489 -0.38872657 1.8588892 -0.01533142 14.820171 -0.7632549 -5.76944 -0.20017756 1.7662475 0.0066635754 1.2915648 0.035779089 -57.440976 -0.046658949 -23.489821 0.35261731 1.7517751 0.069046218 -1.2808877 0.047676814 201.11488 0.1935787 31.440871 -0.021235114 -0.20361018 0.0038791448 0.60092579 0.15896952 22.953056 0.24605359 2.528948 5.9564427e-07 0.00045142962 0.30629757 0.0041503751 50494 22940.979 4716.1144 -4 211383 221179.19 274348.68 10684 11086 1526149 375016.79 27962.167 -77 14426 4843.1387 542.61829 0 6 1292312 575542.5 143.10509 40 1279366 569974.18 -281.94228 36 12
200000 1 1 0.066666667 0.066666667 0 0 1e-05 0.02898 449359.06 0.3155714 0.31830078 0.33580564 0.33595727 50094 211651 632 1529328 11379 223730 692 77151 -0.1989548 1.7443034 -0.084805629 10.231769 -0.64502421 -6.4184471 -0.030376646 1.4104522 0.26899868 1.3619484 0.1408127 -52.934533 -0.21498932 -22.969904 0.12224157 1.5466729 -0.25173168 -1.2165125 0.057420728 191.3021 -0.27763777 30.477924 0.097669158 -0.22387731 0.0024877127 0.59372409 0.23964362 23.10077 0.19096923 2.5893973 2.5354263e-07 0.00053781562 0.30618367 0.002795584 50094 22584.723 4459.0231 -4 211651 218197.52 266635.67 10364 10777 1529328 376401.23 28070.159 -78 11379 4157.0097 506.56495 0 5 1292118 576545.4 227.36731 44 1278906 570776.65 -237.39328 40 13
300000 1 1 0.066666667 0.066666667 0 0 1e-05 0.02898 449692.39 0.31533411 0.31897318 0.33574852 0.3358864 50077 211259 1228 1529535 11581 223613 671 77607 -0.15812853 2.341208 -0.18076832 9.8159996 -0.73755192 -6.6597704 -0.064117847 1.917368 0.30598573 1.5493567 0.030367455 -49.506056 -0.23659667 -22.607529 0.10035877 1.9705353 -0.3104265 -1.0114007 0.20119688 190.06703 -0.34529025 30.351223 0.12129434 -0.31869591 0.0023408894 0.59483318 0.33658966 23.15393 0.19481798 2.6895751 2.7747184e-07 0.00061751197 0.30592555 0.0027768538 50077 22562.282 4447.397 -4 211259 217924.06 266249.68 10376 10786 1529535 377048.17 28262.445 -78 11581 4262.4114 525.62041 0 5 1294098 577817 341.83564 51 1278657 571373.01 -227.15491 47 14
400000 1 1 0.066666667 0.066666667 0 0 1e-05 0.02898 449435.74 0.31560663 0.3185006 0.33578296 0.33539161 50280 211165 1501 1528158 12849 223634 669 76949 -0.18487163 2.2573176 -0.15728643 8.9937102 -0.7119442 -6.3602804 0.009029099 1.7153823 0.30926768 1.5857716 0.020680459 -52.373438 -0.18069963 -23.339781 0.15754642 2.0499039 -0.1947328 -1.4667165 -0.0080324797 188.32971 -0.31635661 30.186845 0.22697226 -0.10798108 0.0028339987 0.59404896 0.46060346 23.127 0.20056263 2.8208666 6.5067729e-07 0.00067292356 0.30512169 0.0029379721 50280 22585.893 4376.6612 -5 211165 217819.19 264322.61 10305 10709 1528158 376528.36 28114.437 -78 12849 4885.0991 713.35188 1 6 1295457 578380.83 471.23366 44 1281924 572383.88 -62.126913 40 13
500000 1 1 0.066666667 0.066666667 0 0 1e-05 0.02898 449823.54 0.31610506 0.31884507 0.33574811 0.33147084 50312 211068 2073 1524657 16415 226601 718 78853 -0.18447551 1.9629996 -0.040027934 10.002572 -0.63355915 -6.2252434 0.048442845 1.5584261 0.33820011 1.3273208 -0.032649205 -53.369282 -0.24582078 -23.821866 0.17257286 2.0093275 -0.19567177 -1.7261864 -0.030622173 187.17088 -0.31284371 30.248731 0.20601125 -0.29611061 0.002991533 0.60931979 0.73127869 22.979281 0.20958886 3.1632694 5.3323806e-07 0.00075642196 0.30520034 0.003253407 50312 22633.206 4415.9123 -4 211068 222948.89 268354.75 10387 10832 1524657 375203.8 28078.385 -79 16415 6106.8323 965.9469 2 7 1302486 580028.76 672.47898 44 1288992 574059.78 148.41667 40 13
100000 1 1 0.066666667 0.066666667 0 0 1.8804325e-05 0.02898 449573.67 0.31631278 0.31868245 0.33577071 0.33060894 50362 211187 2115 1524711 16192 225996 818 77807 -0.24721673 1.7553084 -0.064322869 27.255296 -0.3684396 -4.5442494 -0.08775423 1.3047173 0.33285812 1.4263624 -0.065519269 -66.717771 -0.33818166 -27.955701 0.20515127 1.8755901 -0.34108107 -2.3209241 -0.099026069 307.34214 -0.26945982 55.252508 0.090911634 -0.34043446 0.003283648 0.60576405 0.71170913 23.483552 0.20282305 3.2383037 5.1588099e-07 0.00078761067 0.3058015 0.0032232659 50362 22721.981 4506.5011 -3 211187 221729.41 266079.96 10235 10685 1524711 375369.78 28110.537 -79 16192 6015.8817 954.46425 2 7 1300921 579641.89 509.86843 38 1287626 573806.11 22.222716 34 13
200000 1 1 0.066666667 0.066666667 0 0 1.8804325e-05 0.02898 449541.8 0.31651635 0.31867573 0.33577086 0.33009932 50370 211095 2086 1524504 16483 225901 817 77753 -0.24205093 1.8883966 -0.093223345 27.362914 -0.38021306 -4.4497588 -0.09131759 1.2958263 0.330579 1.1625697 -0.023652343 -66.811011 -0.32637676 -28.125778 0.20653394 1.6663844 -0.33307611 -2.4981374 -0.057292468 308.49724 -0.28848277 55.848223 0.097886605 -0.39133045 0.0032773097 0.60304419 0.71964743 23.494318 0.20626216 3.2493347 4.8149437e-07 0.00077625721 0.30544172 0.0032958634 50370 22732.08 4513.0249 -3 211095 221403.46 265626.81 10243 10701 1524504 375492.98 28126.887 -79 16483 6103.953 961.28929 2 7 1300736 579701.95 523.55663 38 1287407 573844.22 26.795911 34 13
300000 1 1 0.066666667 0.066666667 0 0 1.8804325e-05 0.02898 449615.86 0.31664084 0.31886646 0.33575531 0.32980351 50377 211234 2206 1523647 17194 226172 828 78017 -0.2379218 1.5220656 -0.092136028 28.4501 -0.3770856 -4.1820166 -0.077324778 1.1821848 0.32807808 1.2756608 0.01625747 -66.798752 -0.23082596 -27.766677 0.22072717 1.6063967 -0.32651182 -2.2711346 -0.073499501 306.91498 -0.22211474 55.827429 0.06943515 -0.34599714 0.0033095501 0.60947335 0.75630593 23.471202 0.21206676 3.2938789 4.5630001e-07 0.00083389359 0.3054866 0.0035431912 50377 22743.19 4521.8554 -3 211234 222322.74 265714.56 10195 10665 1523647 375173.36 28101.149 -79 17194 6437.591 1094.2296 3 8 1302756 580650.79 655.69454 41 1285237 573168.8 -146.72898 36 15
400000 1 1 0.066666667 0.066666667 0 0 1.8804325e-05 0.02898 449650.5 0.31674711 0.31892827 0.33575323 0.32953932 50380 211206 2273 1523126 17740 226272 827 78163 -0.23914391 1.5208495 -0.10920837 30.051731 -0.39850397 -3.786048 -0.074684953 1.1409905 0.33332429 1.2287579 0.073510503 -66.707543 -0.20001046 -27.646564 0.2086087 1.5499562 -0.32694243 -2.3590929 -0.10602486 305.87016 -0.26381906 55.9494 0.07750135 -0.31279413 0.0032765772 0.61005259 0.76423627 23.456662 0.21945247 3.2964245 4.4059188e-07 0.00085180568 0.30534117 0.0036970723 50380 22746.059 4522.8723 -3 211206 222597.49 266113.6 10209 10683 1523126 375042.47 28095.745 -79 17740 6597.1392 1113.34 3 8 1303042 580764.25 709.83139 42 1287444 573743.6 -48.885796 37 14
500000 1 1 0.066666667 0.066666667 0 0 1.8804325e-05 0.02898 449609.3 0.31680261 0.31897032 0.33575619 0.32934415 50380 211240 2429 1522596 18236 226164 826 78079 -0.23446113 1.53403 -0.10264599 32.92924 -0.37737693 -3.1363095 -0.075734411 1.184171 0.33818168 1.0644248 0.11615268 -66.488051 -0.18874205 -27.531956 0.20736198 1.4631674 -0.32982737 -2.4028503 -0.19477713 304.66496 -0.30006766 56.180287 0.078388296 -0.15277497 0.0032441042 0.61090955 0.79472752 23.4463 0.22602945 3.3065609 4.3279023e-07 0.00090213489 0.30522626 0.003836004 50380 22746.059 4522.8723 -3 211240 222536.39 266101.35 10234 10688 1522596 374911.96 28107.337 -79 18236 6731.126 1128.6466 3 8 1303187 580868.97 774.25813 42 1287620 573886.81 33.971804 37 14
