sw krw krn krwf krnf vw vn force pw pn wet peff
0.17303484 -0.0061313228 0.77099292 -0.0068860392 0.67021971 -1.829388e-06 0.0002300393 2.4200697e-05 0.32138308 0.33571158 436948.45 1.3074261
0.17249391 -0.00750453 0.77497239 -0.0075199418 0.67429776 -2.2391086e-06 0.00023122665 2.4200697e-05 0.32122775 0.33573334 437027.49 1.3029862
0.17219821 -0.0074994455 0.77733769 -0.0072739943 0.67623636 -2.2375915e-06 0.00023193237 2.4200697e-05 0.32131901 0.33571917 437165.53 1.2989742
0.17208946 -0.0074676696 0.77837442 -0.0072266803 0.67710556 -2.2281106e-06 0.0002322417 2.4200697e-05 0.32141648 0.33570587 437247.69 1.2971738
0.17205729 -0.0075124452 0.77891004 -0.007218262 0.6775457 -2.2414702e-06 0.00023240151 2.4200697e-05 0.32147989 0.33569756 437293.18 1.2963483
0.18057069 -0.0074052971 0.71578463 -0.0075513261 0.62213366 -2.2534483e-06 0.00021781485 2.4682056e-05 0.3222589 0.33567865 433060.72 1.411673
0.18211081 -0.0074512156 0.7121278 -0.0077693436 0.62015408 -2.2674214e-06 0.00021670207 2.4682056e-05 0.32220702 0.335702 431852.4 1.4190907
0.18160151 -0.0080077588 0.71298141 -0.0078213005 0.62107176 -2.4367788e-06 0.00021696183 2.4682056e-05 0.32199276 0.33572639 431943.2 1.4184927
0.18133187 -0.0080640158 0.71292581 -0.0077998749 0.62116594 -2.4538979e-06 0.00021694491 2.4682056e-05 0.32203946 0.3357188 431997.29 1.4187178
0.18124644 -0.0080634991 0.71274517 -0.0078176662 0.62110343 -2.4537407e-06 0.00021688994 2.4682056e-05 0.3221119 0.33570882 432027.01 1.4190805
0.1811732 -0.0081678418 0.71267286 -0.0078172001 0.62103299 -2.4854924e-06 0.00021686793 2.4682056e-05 0.32216468 0.33570182 432040.61 1.4194363
0.18974541 -0.0071415645 0.6992511 -0.0078628006 0.60715402 -2.3795381e-06 0.00023298742 2.7025611e-05 0.32284205 0.33569684 427442.9 1.444858
0.19128609 -0.0072527133 0.69638779 -0.0073380178 0.60560051 -2.4165725e-06 0.00023203337 2.7025611e-05 0.32288493 0.33570486 426297.26 1.4510943
0.19079731 -0.0075878477 0.69882296 -0.007194929 0.60788257 -2.5282378e-06 0.00023284476 2.7025611e-05 0.32269695 0.33572848 426358.99 1.4466858
0.19053822 -0.0076515744 0.69996223 -0.0070110848 0.60913131 -2.5494712e-06 0.00023322436 2.7025611e-05 0.32269607 0.33572994 426297.89 1.4444383
0.19042171 -0.0072751311 0.69932191 -0.0068889888 0.60929825 -2.424042e-06 0.00023301101 2.7025611e-05 0.32272475 0.33572575 426296.33 1.444989
0.19038454 -0.0074129125 0.69943113 -0.0068948253 0.60950595 -2.4699501e-06 0.0002330474 2.7025611e-05 0.32274211 0.33572331 426302.95 1.4450487
